Punto;CoordX;CoordY;Centroide
P1;8.40;3.94;1
P2;7.83;7.98;1
P3;9.12;1.98;1
P4;3.35;7.68;0
P5;2.78;5.54;0
P6;4.77;6.29;0
P7;3.65;5.13;0
P8;9.52;9.16;1
P9;6.36;7.17;1
P10;1.42;6.07;0
P11;0.16;2.43;0
P12;1.37;8.04;0
P13;1.57;4.01;0
P14;1.30;1.09;0
P15;9.99;2.18;1
P16;5.13;8.39;1
P17;6.13;2.96;1
P18;6.38;5.24;1
P19;4.94;9.73;1
P20;2.93;7.71;0
P21;5.27;7.70;1
P22;4.00;8.92;0
P23;2.83;3.52;0
P24;8.08;9.19;1
P25;0.70;9.49;0
P26;5.26;0.86;1
P27;1.92;6.63;0
P28;8.90;3.49;1
P29;0.64;0.20;0
P30;4.58;0.63;0
P31;2.38;9.71;0
P32;9.02;8.51;1
P33;2.67;5.40;0
P34;3.75;7.60;0
P35;5.13;6.68;1
P36;5.32;0.39;1
P37;4.38;9.32;0
P38;9.31;7.21;1
P39;2.84;7.39;0
P40;6.40;3.54;1
P41;6.88;1.66;1
P42;4.40;8.80;0
P43;8.29;3.30;1
P44;2.29;8.93;0
P45;3.50;6.87;0
P46;9.56;5.89;1
P47;6.57;8.59;1
P48;4.40;9.24;0
P49;3.98;8.15;0
P50;6.84;9.11;1
P51;4.82;2.16;0
P52;9.50;9.20;1
P53;1.48;8.81;0
P54;6.41;4.32;1
P55;6.20;2.81;1
P56;7.86;3.07;1
P57;4.47;2.26;0
P58;1.88;2.76;0
P59;5.56;4.17;1
P60;1.70;9.07;0
P61;1.03;1.26;0
P62;4.95;7.60;1
P63;9.85;9.35;1
P64;6.84;3.83;1
P65;7.50;3.69;1
P66;2.94;2.32;0
P67;5.84;2.44;1
P68;1.52;7.32;0
P69;1.25;7.93;0
P70;1.64;7.45;0
P71;0.75;9.50;0
P72;0.53;5.22;0
P73;1.76;2.40;0
P74;7.98;7.33;1
P75;6.57;9.67;1
P76;6.39;7.60;1
P77;0.93;1.35;0
P78;5.20;0.78;1
P79;0.70;2.05;0
P80;4.61;8.20;0
P81;5.73;7.56;1
P82;0.52;1.58;0
P83;10.00;2.04;1
P84;8.90;1.25;1
P85;9.98;0.54;1
P86;8.71;0.72;1
P87;0.04;9.23;0
P88;5.94;1.80;1
P89;1.63;3.92;0
P90;9.13;8.20;1
P91;3.59;5.52;0
P92;5.79;4.53;1
P93;6.87;1.00;1
P94;5.31;7.57;1
P95;3.04;9.92;0
P96;5.77;8.78;1
P97;7.48;6.29;1
P98;0.35;7.48;0
P99;8.33;9.25;1
P100;8.73;8.31;1
P101;9.79;7.44;1
P102;9.03;9.84;1
P103;6.67;4.97;1
P104;1.64;8.30;0
P105;8.89;0.77;1
P106;6.50;2.48;1
P107;6.29;2.29;1
P108;7.01;3.17;1
P109;3.29;2.31;0
P110;0.74;6.33;0
P111;2.24;6.51;0
P112;5.11;9.71;1
P113;2.80;5.46;0
P114;7.19;1.13;1
P115;4.71;5.93;0
P116;9.44;4.51;1
P117;3.36;8.48;0
P118;4.35;0.03;0
P119;3.45;5.98;0
P120;8.33;2.34;1
P121;6.75;4.83;1
P122;4.82;3.05;0
P123;7.12;1.83;1
P124;6.22;0.41;1
P125;4.14;6.96;0
P126;6.74;6.38;1
P127;3.47;1.85;0
P128;6.09;6.27;1
P129;7.31;3.28;1
P130;7.40;2.02;1
P131;9.21;6.85;1
P132;6.53;2.57;1
P133;5.32;0.88;1
P134;2.60;8.77;0
P135;6.86;0.94;1
P136;1.11;3.62;0
P137;5.77;5.93;1
P138;6.67;2.89;1
P139;7.76;2.88;1
P140;3.30;1.90;0
P141;9.84;0.04;1
P142;8.27;3.31;1
P143;1.88;4.36;0
P144;9.59;9.19;1
P145;7.65;6.99;1
P146;1.21;6.86;0
P147;3.84;7.74;0
P148;9.43;9.16;1
P149;8.62;2.04;1
P150;7.94;5.48;1
P151;2.97;9.05;0
P152;9.10;8.74;1
P153;4.98;5.76;1
P154;1.63;2.74;0
P155;8.65;4.92;1
P156;4.64;8.49;0
P157;4.96;2.91;1
P158;1.80;6.84;0
P159;7.28;1.39;1
P160;6.03;4.92;1
P161;8.38;7.24;1
P162;1.78;2.22;0
P163;4.99;1.21;1
P164;1.38;3.60;0
P165;3.25;9.32;0
P166;9.08;6.22;1
P167;8.37;8.18;1
P168;4.96;3.35;1
P169;3.94;6.59;0
P170;6.09;2.59;1
P171;1.51;0.73;0
P172;1.08;6.47;0
P173;3.64;2.88;0
P174;3.31;0.91;0
P175;4.27;9.34;0
P176;5.84;2.65;1
P177;6.59;7.62;1
P178;4.87;1.57;0
P179;8.83;6.26;1
P180;5.18;2.08;1
P181;5.58;4.26;1
P182;8.30;3.94;1
P183;2.44;3.26;0
P184;7.29;6.39;1
P185;9.85;3.38;1
P186;8.98;1.36;1
P187;4.11;0.05;0
P188;7.83;7.74;1
P189;2.94;1.15;0
P190;8.66;7.21;1
P191;0.49;4.49;0
P192;9.86;7.08;1
P193;2.11;4.74;0
P194;8.65;0.94;1
P195;1.00;3.83;0
P196;3.02;6.57;0
P197;8.09;1.32;1
P198;0.52;0.53;0
P199;4.58;7.81;0
P200;6.92;4.43;1
P201;1.19;5.90;0
P202;5.79;5.30;1
P203;5.95;3.62;1
P204;3.04;8.89;0
P205;4.77;1.70;0
P206;6.10;5.26;1
P207;6.19;5.96;1
P208;2.34;8.30;0
P209;0.70;0.99;0
P210;9.24;1.70;1
P211;4.82;2.25;0
P212;8.27;2.91;1
P213;3.57;8.78;0
P214;3.44;8.15;0
P215;6.59;0.36;1
P216;2.57;7.78;0
P217;6.26;8.36;1
P218;3.08;2.21;0
P219;1.98;6.12;0
P220;1.10;6.75;0
P221;7.82;7.19;1
P222;2.00;4.01;0
P223;3.16;4.34;0
P224;2.31;3.86;0
P225;5.33;1.55;1
P226;5.55;0.15;1
P227;3.80;3.82;0
P228;3.05;7.37;0
P229;2.60;6.50;0
P230;5.52;9.20;1
P231;6.86;8.10;1
P232;6.98;3.12;1
P233;6.46;0.06;1
P234;5.33;8.44;1
P235;6.18;6.43;1
P236;5.19;4.01;1
P237;3.62;7.19;0
P238;8.02;6.78;1
P239;1.53;0.33;0
P240;0.64;6.86;0
P241;1.88;6.19;0
P242;7.00;5.68;1
P243;0.01;0.06;0
P244;3.05;2.62;0
P245;6.55;8.58;1
P246;1.81;3.41;0
P247;6.67;8.79;1
P248;6.53;3.13;1
P249;8.85;1.86;1
P250;1.57;5.03;0
P251;8.29;6.76;1
P252;9.04;1.91;1
P253;3.95;7.06;0
P254;8.69;5.47;1
P255;7.39;9.32;1
P256;2.33;9.27;0
P257;5.51;9.33;1
P258;4.94;5.53;1
P259;9.39;8.00;1
P260;8.14;5.94;1
P261;6.57;9.95;1
P262;9.36;3.25;1
P263;8.74;5.89;1
P264;6.38;7.59;1
P265;7.75;7.95;1
P266;2.63;6.04;0
P267;4.71;1.67;0
P268;7.95;8.65;1
